what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1385486595911
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385486597192
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385486597474
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385486597552
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486602427
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486603521
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486604005
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486607088
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486630662
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486631749
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1385486669600
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1385486669600
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486669662
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486674651
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.DebugLast",1385486674651
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385486680485
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1385486680641
started,bundle,org.eclipse.jst.jee,1.0.300.v201005191301,"org.eclipse.jst.jee",1385486680657
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486686689
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486688623
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1385486688623
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385486690183
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385486703568
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385486706658
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385486713812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486715699
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486720790
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1385486720790
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385486727334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486736098
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486748119
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486751015
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486752733
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385486754824
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486759098
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486762407
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1385486762423
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486763966
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486774777
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486785137
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486787824
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1385486787840
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486788277
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486826724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486831146
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486832553
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1385486849601
opened,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1385486852429
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1385486852444
started,bundle,org.eclipse.datatools.connectivity,1.2.0.v201005270426,"org.eclipse.datatools.connectivity",1385486854507
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.0.v201005182319,"org.eclipse.datatools.connectivity.ui",1385486854523
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1385486854523
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v200906111150,"org.eclipse.datatools.enablement.ingres.ui",1385486854648
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.0.v201005270630,"org.eclipse.datatools.connectivity.sqm.core",1385486854913
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1385486854913
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1385486854976
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1385486854991
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1385486857882
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1385486858992
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1385486859007
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1385486859007
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1385486860085
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385486867930
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486872414
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486874414
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1385486874430
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1385486889103
opened,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1385486889118
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1385486889150
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385486900510
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1385486901635
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385486902072
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487000239
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385487002473
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385487010958
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385487013427
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487026225
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487032195
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487033554
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487038789
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487050789
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487073353
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487075041
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487225488
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385487227316
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487228692
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487314351
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487319477
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487331335
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1385487334515
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1385487336027
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487336683
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487344181
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1385487345865
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1385487346662
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1385487346943
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385487348967
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487351854
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487356632
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1385487356632
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385487361169
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487390069
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487399387
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1385487400903
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385487404302
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385487406814
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487409713
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487412272
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1385487412272
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487413124
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487473049
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487475330
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487509755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487513943
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487515021
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385487518209
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487522521
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487523896
